scope	mode	test	outcome	capture
PF-01	normal	TestCarriedActionAuditCacheAvoidsSecondLiveVerificationPass	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedActionAuditCacheCannotBypassCurrentOrDifferentEvidence	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedActionHistoryFailsBeforeMutationWhenReceiptIsMissing	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedFleetBatchExecutorLoadsHashAuthenticatedArchivedPlan	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedFleetBatchPreparationUsesExactArchivedPlan	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedFleetBatchSourceRejectsLineageAndIdentityDrift	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedFleetHistoryBatchCachesOnlyExactVerifiedAction	PASS	interim/pf01/fixture-correction/body/normal
PF-01	normal	TestCarriedPreparationAuthenticatesEachSourcePlan	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationCanceledSourceReadRequiresFreshRetry	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationCancellationNamesEveryBlockedAction	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationCollectsFailuresAndKeepsOnlyVerifiedKeys	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationDeploymentEnvelopeBlocksMissingPayloadReader	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationIndexPreservesJournalSelection	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationJournalAppendInvalidatesScope	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationJournalReadWorkIsBounded	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationPartialReadersKeepIndependentLocalProofs	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationReadOnlyBatchesRetainAllFailures	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationRetryReauthenticatesSourceAndReceipts	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationRetryRechecksScopeAndAuthority	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationSourceReadWorkIsBounded	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestCarriedTopologyAuthenticatesReceiptWithoutRequiringStoppedProcessLiveness	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestHistoricalAuditCacheCancellationNeverPublishesSuccess	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestHistoricalAuditCacheInvalidatesChangedIdentity	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestHistoricalFleetCacheCannotBypassSuccessorOrCurrentStateChecks	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestHistoricalFleetCacheRechecksLocalDecoderEvidenceAndSourceReceipts	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestHistoricalFleetCacheReusesAcrossExecutorsWithBatchedFreshCheckpoints	PASS	interim/pf01/fixture-correction/body/normal
PF-01	normal	TestOwnedRPCHistoryAuthenticatesOriginalApprovalWithoutRelabelingReceipts	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestOwnedRPCHistoryNativeReplayCannotBorrowOneReader	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestOwnedRPCHistoryReplaysOriginalFundingThroughOwnedNode	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestProvisionalPreparationCollectsEveryRetainedReceiptFailure	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestVerifyCarriedActionHistoryLeavesOnlyUnverifiedFleetBatchAtExecutionBoundary	PASS	interim/pf01/positive/body/normal
PF-01	normal	TestVerifyCarriedActionHistorySeedsAllFortyFleetBatchCacheKeys	PASS	interim/pf01/positive/body/normal
PF-01	race	TestCarriedActionAuditCacheAvoidsSecondLiveVerificationPass	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedActionAuditCacheCannotBypassCurrentOrDifferentEvidence	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedActionHistoryFailsBeforeMutationWhenReceiptIsMissing	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedFleetBatchExecutorLoadsHashAuthenticatedArchivedPlan	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedFleetBatchPreparationUsesExactArchivedPlan	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedFleetBatchSourceRejectsLineageAndIdentityDrift	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedFleetHistoryBatchCachesOnlyExactVerifiedAction	PASS	interim/pf01/fixture-correction/body/race
PF-01	race	TestCarriedPreparationAuthenticatesEachSourcePlan	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationCanceledSourceReadRequiresFreshRetry	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationCancellationNamesEveryBlockedAction	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationCollectsFailuresAndKeepsOnlyVerifiedKeys	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationDeploymentEnvelopeBlocksMissingPayloadReader	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationIndexPreservesJournalSelection	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationJournalAppendInvalidatesScope	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationJournalReadWorkIsBounded	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationPartialReadersKeepIndependentLocalProofs	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationReadOnlyBatchesRetainAllFailures	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationRetryReauthenticatesSourceAndReceipts	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationRetryRechecksScopeAndAuthority	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedPreparationSourceReadWorkIsBounded	PASS	interim/pf01/positive/body/race
PF-01	race	TestCarriedTopologyAuthenticatesReceiptWithoutRequiringStoppedProcessLiveness	PASS	interim/pf01/positive/body/race
PF-01	race	TestHistoricalAuditCacheCancellationNeverPublishesSuccess	PASS	interim/pf01/positive/body/race
PF-01	race	TestHistoricalAuditCacheInvalidatesChangedIdentity	PASS	interim/pf01/positive/body/race
PF-01	race	TestHistoricalFleetCacheCannotBypassSuccessorOrCurrentStateChecks	PASS	interim/pf01/positive/body/race
PF-01	race	TestHistoricalFleetCacheRechecksLocalDecoderEvidenceAndSourceReceipts	PASS	interim/pf01/positive/body/race
PF-01	race	TestHistoricalFleetCacheReusesAcrossExecutorsWithBatchedFreshCheckpoints	PASS	interim/pf01/fixture-correction/body/race
PF-01	race	TestOwnedRPCHistoryAuthenticatesOriginalApprovalWithoutRelabelingReceipts	PASS	interim/pf01/positive/body/race
PF-01	race	TestOwnedRPCHistoryNativeReplayCannotBorrowOneReader	PASS	interim/pf01/positive/body/race
PF-01	race	TestOwnedRPCHistoryReplaysOriginalFundingThroughOwnedNode	PASS	interim/pf01/positive/body/race
PF-01	race	TestProvisionalPreparationCollectsEveryRetainedReceiptFailure	PASS	interim/pf01/positive/body/race
PF-01	race	TestVerifyCarriedActionHistoryLeavesOnlyUnverifiedFleetBatchAtExecutionBoundary	PASS	interim/pf01/positive/body/race
PF-01	race	TestVerifyCarriedActionHistorySeedsAllFortyFleetBatchCacheKeys	PASS	interim/pf01/positive/body/race
PF-02 SN	normal	TestProcessLogClassifierFailsClosedWithoutRejectingExpectedNoise	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestRenderOperatorProviderEgressProbeIsolationRejectsNonRegularCredential	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestRenderOperatorProviderEgressProbeIsolationRemovesCopiedCredential	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestRunMainServerModulesConfineTLSFallbackToConnectLoopback	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestRunMainTaskworkerRequiresExplicitSubnetProfile	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
PF-02 SN	normal	TestRuntimeConfigManifestRejectsProviderEgressProbeIsolationDrift	PASS	interim/pf02/sn/positive/sn-sim-testnet/body/normal
