scope	mode	test	outcome	capture
PF-01	normal	TestCarriedActionAuditCacheAvoidsSecondLiveVerificationPass	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedActionAuditCacheCannotBypassCurrentOrDifferentEvidence	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedActionHistoryFailsBeforeMutationWhenReceiptIsMissing	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedFleetBatchExecutorLoadsHashAuthenticatedArchivedPlan	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedFleetBatchPreparationUsesExactArchivedPlan	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedFleetBatchSourceRejectsLineageAndIdentityDrift	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedFleetHistoryBatchCachesOnlyExactVerifiedAction	PASS	pf01/fixture-correction/body/normal
PF-01	normal	TestCarriedPreparationAuthenticatesEachSourcePlan	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationCanceledSourceReadRequiresFreshRetry	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationCancellationNamesEveryBlockedAction	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationCollectsFailuresAndKeepsOnlyVerifiedKeys	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationDeploymentEnvelopeBlocksMissingPayloadReader	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationIndexPreservesJournalSelection	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationJournalAppendInvalidatesScope	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationJournalReadWorkIsBounded	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationPartialReadersKeepIndependentLocalProofs	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationReadOnlyBatchesRetainAllFailures	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationRetryReauthenticatesSourceAndReceipts	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationRetryRechecksScopeAndAuthority	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedPreparationSourceReadWorkIsBounded	PASS	pf01/positive/body/normal
PF-01	normal	TestCarriedTopologyAuthenticatesReceiptWithoutRequiringStoppedProcessLiveness	PASS	pf01/positive/body/normal
PF-01	normal	TestHistoricalAuditCacheCancellationNeverPublishesSuccess	PASS	pf01/positive/body/normal
PF-01	normal	TestHistoricalAuditCacheInvalidatesChangedIdentity	PASS	pf01/positive/body/normal
PF-01	normal	TestHistoricalFleetCacheCannotBypassSuccessorOrCurrentStateChecks	PASS	pf01/positive/body/normal
PF-01	normal	TestHistoricalFleetCacheRechecksLocalDecoderEvidenceAndSourceReceipts	PASS	pf01/positive/body/normal
