path	kind	body.started	body.exit	outer.exit	launcher.join.exit	pass	fail	skip	fences.after
pf01/positive/body/normal	preserved_fixture_failure	true	1	127	127	31	1	0	true
pf01/fixture-correction/body/normal	accepted_fixture_confirmation	true	0	0	0	2	0	0	true
pf01/positive/body/race	preserved_fixture_failure	true	1	127	127	31	1	0	true
pf01/fixture-correction/body/race	accepted_fixture_confirmation	true	0	0	0	2	0	0	true
pf01/causal/body/normal	expected_causal_failures	true	1	1	1	6	2	0	true
pf02/sn/positive/sn-sim-testnet/body/normal	accepted_sn_partial	true	0	0	0	9	0	0	true
pf02/sn/positive/sn-sim-testnet/body/race	accepted_sn_partial	true	0	0	0	9	0	0	true
pf02/sn/causal/unbound-operator-specs-sim-testnet/body/normal	expected_sn_causal_failures	true	1	1	1	1	2	0	true
pf02/server-original/causal/unfiltered-claims-task/body/normal	not_admitted_server_census	false	125	127	127	0	0	0	true
pf02/server-original/positive/server-task/body/normal	not_admitted_server_census	false	125	127	127	0	0	0	true
pf02/server-portable-refusal/causal/unfiltered-claims-task/body/normal	not_admitted_server_census	false	125	127	127	0	0	0	true
pf02/server-portable-refusal/causal/unfiltered-claims-taskworker/body/normal	not_admitted_server_census	false	125	127	127	0	0	0	true
pf02/server-portable-refusal/causal/unrestricted-profile-initialization-taskworker/body/normal	not_admitted_server_census	false	125	127	127	0	0	0	true
pf02/server-portable-refusal/positive/server-task/body/normal	not_admitted_server_census	false	125	127	127	0	0	0	true
pf02/server-portable-refusal/positive/server-task/body/race	not_admitted_server_census	false	125	127	127	0	0	0	true
pf02/server-portable-refusal/positive/server-taskworker/body/normal	not_admitted_server_census	false	125	127	127	0	0	0	true
pf02/server-portable-refusal/positive/server-taskworker/body/race	not_admitted_server_census	false	125	127	127	0	0	0	true
