scope	mode	test	outcome
positive	normal	TestCompletedReleaseProofCountIgnoresOnlyTrailingFragment	PASS
positive	normal	TestCompletedReleaseProofCountRejectsDurableCorruption	PASS
positive	normal	TestPostTopologyTournamentGatePropagatesBoundaryFailure	PASS
positive	normal	TestPostTopologyTournamentGateRequiresFreshPostTournamentProof	PASS
positive	normal	TestProcessLogGateRejectsSupervisorGenerationChange	PASS
positive	normal	TestReleaseTopologyReadinessRequiresFreshProofsAndRejectsRestart	PASS
positive	normal	TestReleaseTopologyReadinessRetainedHistoryWaitCancellationPrecedesAdmission	PASS
positive	normal	TestReleaseTopologyReadinessRetainedHistoryWaitKeepsProofDeadline	PASS
positive	normal	TestReleaseTopologyReadinessRetainedHistoryWaitKeepsSafetyGates	PASS
positive	normal	TestReleaseTopologyReadinessRetainedHistoryWarmupIsRouteIndependent	PASS
positive	normal	TestSupervisorStartupPublicRPCWavesRetainCompleteReadiness	PASS
positive	race	TestCompletedReleaseProofCountIgnoresOnlyTrailingFragment	PASS
positive	race	TestCompletedReleaseProofCountRejectsDurableCorruption	PASS
positive	race	TestPostTopologyTournamentGatePropagatesBoundaryFailure	PASS
positive	race	TestPostTopologyTournamentGateRequiresFreshPostTournamentProof	PASS
positive	race	TestProcessLogGateRejectsSupervisorGenerationChange	PASS
positive	race	TestReleaseTopologyReadinessRequiresFreshProofsAndRejectsRestart	PASS
positive	race	TestReleaseTopologyReadinessRetainedHistoryWaitCancellationPrecedesAdmission	PASS
positive	race	TestReleaseTopologyReadinessRetainedHistoryWaitKeepsProofDeadline	PASS
positive	race	TestReleaseTopologyReadinessRetainedHistoryWaitKeepsSafetyGates	PASS
positive	race	TestReleaseTopologyReadinessRetainedHistoryWarmupIsRouteIndependent	PASS
positive	race	TestSupervisorStartupPublicRPCWavesRetainCompleteReadiness	PASS
