receipt	source_capture	staged_subset	body_exit	qualification_exit	fences_after
current_artifact_admission/miner	/mnt/data/sn-testnet/qualification/runtime460-20260915-r1/terra-causal-normal-20260915-r1/current_artifact_admission/miner	raw/current_artifact_admission/miner	1	0	true
current_artifact_admission/validator	/mnt/data/sn-testnet/qualification/runtime460-20260915-r1/terra-causal-normal-20260915-r1/current_artifact_admission/validator	raw/current_artifact_admission/validator	1	0	true
current_artifact_admission/sim-testnet	/mnt/data/sn-testnet/qualification/runtime460-20260915-r1/terra-causal-normal-20260915-r1/current_artifact_admission/sim-testnet	raw/current_artifact_admission/sim-testnet	1	0	true
native_encoding_stake_and_capacity/crv4	/mnt/data/sn-testnet/qualification/runtime460-20260915-r1/terra-causal-normal-20260915-r1/native_encoding_stake_and_capacity/crv4	raw/native_encoding_stake_and_capacity/crv4	1	127	true
native_encoding_stake_and_capacity/metadata-constant-replacement	/mnt/data/sn-testnet/qualification/runtime460-20260915-r1/terra-causal-normal-20260915-r1/native_encoding_stake_and_capacity/metadata-constant-replacement	raw/native_encoding_stake_and_capacity/metadata-constant-replacement	0	0	true
original_configuration_identity/sim-testnet	/mnt/data/sn-testnet/qualification/runtime460-20260915-r1/terra-causal-normal-20260915-r1/original_configuration_identity/sim-testnet	raw/original_configuration_identity/sim-testnet	1	0	true
former_current_archive_authority/sim-testnet	/mnt/data/sn-testnet/qualification/runtime460-20260915-r1/terra-causal-normal-20260915-r1/former_current_archive_authority/sim-testnet	raw/former_current_archive_authority/sim-testnet	1	0	true
catalog_predecessor_omission/crv4-type-repair	/mnt/data/sn-testnet/qualification/runtime460-20260915-r1/terra-causal-normal-20260915-r1/catalog_predecessor_omission/crv4-type-repair	raw/catalog_predecessor_omission/crv4-type-repair	1	0	true
catalog_predecessor_omission/validator	/mnt/data/sn-testnet/qualification/runtime460-20260915-r1/terra-causal-normal-20260915-r1/catalog_predecessor_omission/validator	raw/catalog_predecessor_omission/validator	1	0	true
catalog_predecessor_omission/sim-testnet	/mnt/data/sn-testnet/qualification/runtime460-20260915-r1/terra-causal-normal-20260915-r1/catalog_predecessor_omission/sim-testnet	raw/catalog_predecessor_omission/sim-testnet	1	0	true
