scope	mode	source_commit	compile_exit	binary_sha256	census_exit	census_valid	body_exit	events_valid	fences_after	failed_tests	capture
crv4-original	normal	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	1	-	-	-	-	-	-	-	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/crv4
crv4-type-repair	normal	27eecfdf49cf90593de4a0e5ff905af8657c5d94	0	b0421e65e52971b38d82c99bc93365c3ef7f4f9c65e913b157c992e2b954351f	0	true	1	-	true	TestSourceCommitmentRuntime460MetadataChangesOnlySpecConstant	/mnt/data/sn-testnet/qualification/runtime460-crv4-type-repair-20260915-r1/terra/normal/crv4
miner	normal	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	0	f18af1d4cffa0bbb4b59bd8380e8c343fc84c343400a7890419a443bb513c88b	0	true	1	-	true	TestFleetRuntimeArtifactMatchesReleaseManifests	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/miner
validator	normal	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	0	8d8e3c2bb4aba560172b1bddb20d6979923784e7660ede9327184e185d0a7ca4	0	true	0	true	true		/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator
sim-testnet	normal	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	0	7d427eb3c02aa85cabe24e2037ed8df2233ccbc68994324b7c699649acbfb9d8	0	true	1	-	true	TestProducerGatePinsSemanticIntegrityRegressions,TestRuntime458ArtifactCheckerKeepsHistoricalProvenanceOffFreshRoute	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/sim-testnet
crv4-original	race	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	1	-	-	-	-	-	-	-	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/race/crv4
crv4-type-repair	race	27eecfdf49cf90593de4a0e5ff905af8657c5d94	0	1f780a49ba8cb4991b07cb7727d16158497fc6632372554fac086630384546c7	0	true	1	-	true	TestSourceCommitmentRuntime460MetadataChangesOnlySpecConstant	/mnt/data/sn-testnet/qualification/runtime460-crv4-type-repair-20260915-r1/terra/race/crv4
miner	race	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	0	7855e032ac555f54ed06f67163a923b383673c09a1ca0fc9bae8b80e15a191f0	0	true	1	-	true	TestFleetRuntimeArtifactMatchesReleaseManifests	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/race/miner
validator	race	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	0	54b7337c805ea758ff20a1713b0043115065c47204d433e13b25829e1483dc23	0	true	0	true	true		/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/race/validator
sim-testnet	race	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	0	56f72bc87b5aa049f6a2ee1e640e5a959fa1b818cc5fa9d77f3fe03e9ffadfc7	0	true	1	-	true	TestProducerGatePinsSemanticIntegrityRegressions,TestRuntime458ArtifactCheckerKeepsHistoricalProvenanceOffFreshRoute	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/race/sim-testnet
